max_total_agent_capacity,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
1500,almost_egalitarian_with_donation,4,82.5246082355245,48.3,92.10526315789474,12.47131279836511,5.0,0.7457627118644068,286.0,291.0,291.0,11.40685339999618
1500,almost_egalitarian_with_donation,5,81.95596583715889,55.74162679425837,92.10526315789474,11.663980108009165,5.0,0.6552901023890785,280.0,289.0,289.0,11.568682599987367
1500,almost_egalitarian_with_donation,6,83.82523944349572,48.3,81.33971291866028,11.70386469089711,5.0,0.8088737201365188,288.0,291.0,291.0,11.36675909999758
1500,almost_egalitarian_with_donation,7,81.79426346028613,48.3,109.0909090909091,13.133068847076377,5.0,0.6711864406779661,282.0,291.0,291.0,11.316631699970458
1500,almost_egalitarian_with_donation,8,82.91973468055836,48.3,65.78947368421052,9.754981141858869,5.0,0.71875,276.0,288.0,288.0,12.246290300041435
1500,almost_egalitarian_with_donation,9,81.80547140886128,48.3,92.10526315789474,9.48254113084644,5.0,0.875886524822695,270.0,279.0,280.0,12.426917299977504
2000,utilitarian_matching,0,72.59693949791469,33.2,77.03349282296651,9.824055003673566,5.0,1.5362694300518134,266.0,344.0,354.0,0.5308396000182256
2000,utilitarian_matching,1,73.66343312957176,16.6,75.59808612440193,10.5971744084389,5.0,1.505050505050505,277.0,342.0,351.0,0.5658660000190139
2000,utilitarian_matching,2,74.22485096435433,16.6,61.24401913875598,9.400068384630892,5.0,1.549222797927461,283.0,335.0,359.0,0.5609028000035323
2000,utilitarian_matching,3,73.50630982723125,27.225806451612904,77.03349282296651,9.3501424975194,5.0,1.549222797927461,270.0,344.0,353.0,0.5192319999914616
2000,utilitarian_matching,4,73.70322943037691,16.6,61.24401913875598,10.17847295241695,5.0,1.5101522842639594,297.0,338.0,355.0,0.5145324000041
2000,utilitarian_matching,5,73.07882013947787,16.6,61.24401913875598,10.226211725561535,5.0,1.532133676092545,285.0,342.0,360.0,0.5028485999791883
2000,utilitarian_matching,6,74.24006449441067,16.6,77.03349282296651,9.796078526536114,5.0,1.5402597402597402,294.0,347.0,358.0,0.4907884999993257
2000,utilitarian_matching,7,73.10952562030948,16.6,61.24401913875598,8.990298933742023,5.0,1.5309278350515465,278.0,331.0,342.0,0.5153120000031777
2000,utilitarian_matching,8,73.32462877376373,27.225806451612904,61.24401913875598,10.490956783634427,4.0,1.5520833333333333,277.0,339.0,349.0,0.4924409000086598
2000,utilitarian_matching,9,73.27247262277344,16.6,61.24401913875598,10.017887322694207,5.0,1.5605263157894738,293.0,338.0,356.0,0.5280526000424288
2000,iterated_maximum_matching_unadjusted,0,70.07625723825521,33.4,40.0,6.270832506073312,5.0,1.6088082901554404,371.0,386.0,386.0,0.5765462999697775
2000,iterated_maximum_matching_unadjusted,1,69.93059026373176,32.5,49.8,5.757964572512653,5.0,1.573232323232323,379.0,396.0,396.0,0.5541277999873273
