num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,utilitarian_value,egalitarian_value,runtime
4,5,0,high_multiplicity_fair_allocation,0,0.0,0,0.03624839999999807
4,5,0,high_multiplicity_fair_allocation,1,0.0,0,0.2687815000000029
4,5,0,high_multiplicity_fair_allocation,2,0.0,0,0.44353549999999586
4,5,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.04025670000000048
4,5,0.5,high_multiplicity_fair_allocation,1,109.16666666666666,103.33333333333334,0.26842909999999875
4,5,0.5,high_multiplicity_fair_allocation,2,0.0,0,0.7679161000000008
4,5,1.5,high_multiplicity_fair_allocation,0,0.0,0,0.04686590000000024
4,5,1.5,high_multiplicity_fair_allocation,1,152.91666666666666,90.0,2.473385999999998
4,5,1.5,high_multiplicity_fair_allocation,2,0.0,0,6.999125400000004
4,6,0,high_multiplicity_fair_allocation,0,0.0,0,0.057391299999999035
4,6,0,high_multiplicity_fair_allocation,1,95.47601769299884,92.85714285714286,1.972403700000001
4,6,0,high_multiplicity_fair_allocation,2,83.74372253609542,76.27118644067797,1.4870439000000033
4,6,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.03498580000000118
4,6,0.5,high_multiplicity_fair_allocation,1,0.0,0,81.3377448
4,6,1.5,high_multiplicity_fair_allocation,0,0.0,0,0.04560080000001676
5,2,0,high_multiplicity_fair_allocation,0,0.0,0,0.03566050000000587
5,2,0,high_multiplicity_fair_allocation,1,0.0,0,0.04491630000001123
5,2,0,high_multiplicity_fair_allocation,2,0.0,0,0.049670800000001236
5,2,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.05101239999999052
5,2,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.05651690000001963
5,2,0.5,high_multiplicity_fair_allocation,2,0.0,0,0.05338830000002304
5,2,1.5,high_multiplicity_fair_allocation,0,0.0,0,0.03486410000002138
5,2,1.5,high_multiplicity_fair_allocation,1,0.0,0,0.04484100000001945
5,2,1.5,high_multiplicity_fair_allocation,2,0.0,0,0.032150200000018
5,3,0,high_multiplicity_fair_allocation,0,0.0,0,0.056483700000001136
5,3,0,high_multiplicity_fair_allocation,1,0.0,0,0.0484045999999978
5,3,0,high_multiplicity_fair_allocation,2,0.0,0,0.04150559999999359
5,3,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.06652900000000272
5,3,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.08175090000000296
5,3,0.5,high_multiplicity_fair_allocation,2,0.0,0,0.07941139999999791
5,3,1.5,high_multiplicity_fair_allocation,0,0.0,0,0.06211129999999798
5,3,1.5,high_multiplicity_fair_allocation,1,0.0,0,0.3374305000000106
5,3,1.5,high_multiplicity_fair_allocation,2,0.0,0,0.06199929999999654
5,5,0,high_multiplicity_fair_allocation,0,0.0,0,0.06679959999999596
5,5,0,high_multiplicity_fair_allocation,1,0.0,0,0.31082029999998895
5,5,0,high_multiplicity_fair_allocation,2,0.0,0,0.35494919999999297
5,5,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.033097599999990734
5,5,0.5,high_multiplicity_fair_allocation,1,0.0,0,2.4715874999999983
5,5,0.5,high_multiplicity_fair_allocation,2,0.0,0,0.43010960000000864
5,5,1.5,high_multiplicity_fair_allocation,0,0.0,0,1.0046302000000082
5,5,1.5,high_multiplicity_fair_allocation,1,0.0,0,14.640017
5,5,1.5,high_multiplicity_fair_allocation,2,95.15053763440861,66.66666666666666,0.8057922000000133
5,6,0,high_multiplicity_fair_allocation,0,0.0,0,0.07745099999999638
5,6,0,high_multiplicity_fair_allocation,1,76.45616298446487,73.33333333333333,1.424386400000003
5,6,0,high_multiplicity_fair_allocation,2,69.62990561351216,65.57377049180327,0.3981187999999918
5,6,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.04156400000002236
5,6,1.5,high_multiplicity_fair_allocation,0,0.0,0,0.03893110000001343
